"Year","StateAbbr","StateDesc","LocationName","DataSource","Category","Measure","Data_Value_Unit","Data_Value_Type","Data_Value","Data_Value_Footnote_Symbol","Data_Value_Footnote","Low_Confidence_Limit","High_Confidence_Limit","TotalPopulation","TotalPop18plus","LocationID","CategoryID","MeasureId","DataValueTypeID","Short_Question_Text","Geolocation"
"2022","OK","Oklahoma","Kay","BRFSS","Prevention","Visited dentist or dental clinic in the past year among adults","%","Crude prevalence","56.9",,,"53.0","60.8","43,641","32,842","40071","PREVENT","DENTAL","CrdPrv","Dental Visit","POINT (-97.1442458480715 36.8180490812673)"
"2023","OK","Oklahoma","Oklahoma","BRFSS","Prevention","Visits to doctor for routine checkup within the past year among adults","%","Crude prevalence","78.1",,,"75.5","80.5","808,866","605,014","40109","PREVENT","CHECKUP","CrdPrv","Annual Checkup","POINT (-97.4071852848576 35.5514988566603)"
"2022","OK","Oklahoma","McIntosh","BRFSS","Health Outcomes","All teeth lost among adults aged >=65 years","%","Crude prevalence","19.4",,,"15.9","23.4","19,603","15,584","40091","HLTHOUT","TEETHLOST","CrdPrv","All Teeth Lost","POINT (-95.6667724737982 35.3737043637911)"
"2023","OK","Oklahoma","McCurtain","BRFSS","Health Status","Frequent mental distress among adults","%","Age-adjusted prevalence","20.7",,,"18.3","23.3","30,660","22,566","40089","HLTHSTAT","MHLTH","AgeAdjPrv","Frequent Mental Distress","POINT (-94.7715433530393 34.1163901296428)"
"2023","OK","Oklahoma","Cimarron","BRFSS","Health Status","Fair or poor self-rated health status among adults","%","Age-adjusted prevalence","18.6",,,"15.4","21.9","2,191","1,605","40025","HLTHSTAT","GHLTH","AgeAdjPrv","General Health","POINT (-102.517800024169 36.7482645981398)"
"2023","OK","Oklahoma","Grant","BRFSS","Prevention","Taking medicine to control high blood pressure among adults with high blood pressure","%","Crude prevalence","79.7",,,"76.7","82.3","4,083","3,090","40053","PREVENT","BPMED","CrdPrv","High Blood Pressure Medication","POINT (-97.7860574259311 36.7961456261704)"
"2023","OK","Oklahoma","McIntosh","BRFSS","Health Outcomes","Stroke among adults","%","Crude prevalence","5.6",,,"5.0","6.3","19,603","15,584","40091","HLTHOUT","STROKE","CrdPrv","Stroke","POINT (-95.6667724737982 35.3737043637911)"
"2023","OK","Oklahoma","Washington","BRFSS","Health-Related Social Needs","Received food stamps in the past 12 months among adults","%","Crude prevalence","14.3",,,"11.3","17.3","53,706","40,761","40147","SOCLNEED","FOODSTAMP","CrdPrv","Food Stamps","POINT (-95.9043568219824 36.7152366150181)"
"2022","OK","Oklahoma","Jefferson","BRFSS","Prevention","Visited dentist or dental clinic in the past year among adults","%","Age-adjusted prevalence","50.5",,,"46.6","54.5","5,347","4,030","40067","PREVENT","DENTAL","AgeAdjPrv","Dental Visit","POINT (-97.8360732655638 34.1106274427473)"
"2023","OK","Oklahoma","Roger Mills","BRFSS","Health Risk Behaviors","No leisure-time physical activity among adults","%","Age-adjusted prevalence","31.4",,,"26.0","37.5","3,295","2,502","40129","RISKBEH","LPA","AgeAdjPrv","Physical Inactivity","POINT (-99.6959628680842 35.6881644912023)"
"2023","OK","Oklahoma","Cotton","BRFSS","Health Risk Behaviors","Current cigarette smoking among adults","%","Crude prevalence","19.3",,,"15.9","22.8","5,427","4,179","40033","RISKBEH","CSMOKING","CrdPrv","Current Cigarette Smoking","POINT (-98.3721992106375 34.2900586392925)"
"2023","OK","Oklahoma","Marshall","BRFSS","Health-Related Social Needs","Housing insecurity in the past 12 months among adults","%","Crude prevalence","14.6",,,"12.4","17.0","15,970","12,272","40095","SOCLNEED","HOUSINSECU","CrdPrv","Housing Insecurity","POINT (-96.7690086748236 34.0247191513108)"
"2023","OK","Oklahoma","McClain","BRFSS","Health Outcomes","High cholesterol among adults who have ever been screened","%","Age-adjusted prevalence","34.0",,,"29.9","38.2","47,072","35,436","40087","HLTHOUT","HIGHCHOL","AgeAdjPrv","High Cholesterol","POINT (-97.4447724910511 35.0093319713623)"
"2022","OK","Oklahoma","Ottawa","BRFSS","Prevention","Colorectal cancer screening among adults aged 45–75 years","%","Crude prevalence","58.1",,,"52.5","63.2","30,287","22,537","40115","PREVENT","COLON_SCREEN","CrdPrv","Colorectal Cancer Screening","POINT (-94.8106076020458 36.8356615128431)"
"2023","OK","Oklahoma","Cleveland","BRFSS","Disability","Vision disability among adults","%","Age-adjusted prevalence","4.8",,,"4.2","5.4","301,193","240,814","40027","DISABLT","VISION","AgeAdjPrv","Vision Disability","POINT (-97.3263165055223 35.2025439402736)"
"2023","OK","Oklahoma","Pushmataha","BRFSS","Health Risk Behaviors","Binge drinking among adults","%","Age-adjusted prevalence","14.7",,,"11.8","17.7","10,800","8,446","40127","RISKBEH","BINGE","AgeAdjPrv","Binge Drinking","POINT (-95.375998987891 34.416281814947)"
